#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Elapsed Time (s)"
239000	-723.011752829911	275.94559368044776	1.49e+03	68.90475559234619
240000	-744.169609194132	282.00437550368923	1.49e+03	69.18973112106323
241000	-754.6791272266748	293.4214623897765	1.49e+03	69.4730384349823
242000	-748.7223147483276	264.2186810338065	1.49e+03	69.75722694396973
243000	-752.4793599757921	277.2805247769505	1.49e+03	70.04182386398315
244000	-739.5933683221502	253.31730927380192	1.49e+03	70.33220887184143
245000	-753.2496481150326	260.83472609288015	1.49e+03	70.62445783615112
246000	-744.7831184700541	251.83782084639776	1.49e+03	70.91849207878113
247000	-763.7729059747672	275.649494090503	1.49e+03	71.20971083641052
248000	-771.0898249849039	303.95294926920417	1.49e+03	71.50228643417358
249000	-752.9067655121054	291.79419424537787	1.49e+03	71.79481959342957
250000	-756.2448518894005	306.3278568291471	1.49e+03	72.08707523345947
251000	-720.4324830416301	292.3918305541986	1.49e+03	72.37728071212769
252000	-715.3808771767208	301.421786422055	1.49e+03	72.6690764427185
253000	-672.0870760677426	271.3851896585289	1.49e+03	72.9573278427124
254000	-725.5181132000804	311.8383239440425	1.49e+03	73.24551367759705
255000	-728.5418964978354	294.5730812757189	1.49e+03	73.52977061271667
256000	-709.7047294806165	287.95691092267293	1.49e+03	73.81349682807922
257000	-706.2770569133689	281.2500108652181	1.49e+03	74.10015273094177
258000	-719.1652489241161	293.96877643306755	1.49e+03	74.38915228843689
259000	-729.8964740668132	301.7239171964983	1.49e+03	74.68156290054321
260000	-741.4711332598517	310.9321140946505	1.49e+03	74.97460174560547
261000	-700.3468402781184	281.88073346884056	1.49e+03	75.26526951789856
262000	-721.2997324281808	299.2434867204333	1.49e+03	75.55593061447144
263000	-730.8172382324833	306.20411832969506	1.49e+03	75.8455548286438
264000	-742.7086553017673	308.90765380515194	1.49e+03	76.13686013221741
265000	-747.0572168994963	329.4868649267545	1.49e+03	76.42469501495361
266000	-677.6954933026008	285.39574048648944	1.49e+03	76.71374607086182
267000	-703.1826369808756	295.36590817933717	1.49e+03	77.00243997573853
268000	-742.8411625942653	316.4805640047481	1.49e+03	77.29197263717651
269000	-680.2717076770145	289.60914985134787	1.49e+03	77.58104228973389
